symbol,name,country,subsector,theme
4062.T,Ibiden Co Ltd,Japan,Advanced Packaging,Semiconductors
AMKR,Amkor Technology Inc,USA,Advanced Packaging,Semiconductors
AIP,Arteris Inc,USA,Advanced Packaging,Semiconductors
2802.T,Ajinomoto Co Inc,Japan,Advanced Packaging,Semiconductors
BESI.AS,BE Semiconductor Industries NV,Netherlands,Advanced Packaging,Semiconductors
6857.T,Advantest Corp,Japan,Test Equipment,Semiconductors
6146.T,Disco Corporation,Japan,Precision Tools,Semiconductors
ASML,ASML Holding NV,Netherlands,Lithography,Semiconductors
KLAC,KLA Corporation,USA,Process Control,Semiconductors
AVGO,Broadcom Inc,USA,Infrastructure,Semiconductors
QCOM,QUALCOMM Incorporated,USA,Mobile/Wireless,Semiconductors
MRVL,Marvell Technology Inc,USA,Data Infrastructure,Semiconductors
NXPI,NXP Semiconductors NV,Netherlands,Automotive/IoT,Semiconductors
LSCC,Lattice Semiconductor Corporation,USA,Edge AI,Semiconductors
6526.T,Socionext Inc,Japan,SoC Design,Semiconductors
IFX.DE,Infineon Technologies AG,Germany,Power/Automotive,Semiconductors
SOI.PA,Soitec SA,France,SOI Wafers,Semiconductors
ARM,Arm Holdings plc,UK,CPU Architecture,Semiconductors
RMBS,Rambus Inc,USA,Memory Interface,Semiconductors
CDNS,Cadence Design Systems Inc,USA,EDA Tools,Semiconductors
SNPS,Synopsys Inc,USA,EDA Tools,Semiconductors
HO.PA,Thales SA,France,Defense Electronics,Semiconductors
SIE.DE,Siemens AG,Germany,Industrial Tech,Semiconductors
VRT,Vertiv Holdings Co,USA,Data Center Infrastructure,Full Stack
MRVL,Marvell Technology Inc,USA,Semiconductors,Full Stack
INTC,Intel Corporation,USA,Semiconductors,Full Stack
CSCO,Cisco Systems Inc,USA,Networking Equipment,Full Stack
000660.KS,SK Hynix Inc,South Korea,Memory Semiconductors,Full Stack
MU,Micron Technology Inc,USA,Memory Semiconductors,Full Stack
DELL,Dell Technologies Inc,USA,IT Hardware & Servers,Full Stack
MOD,Modine Manufacturing Co,USA,Thermal Management,Full Stack
SU.PA,Schneider Electric SE,France,Power Management,Full Stack
2330.TT,Taiwan Semiconductor Mfg,Taiwan,Semiconductor Manufacturing,Full Stack
ETN,Eaton Corporation plc,USA,Power Management,Full Stack
ANET,Arista Networks Inc,USA,Networking Equipment,Full Stack
AVGO,Broadcom Inc,USA,Semiconductors,Full Stack
AMD,Advanced Micro Devices Inc,USA,Semiconductors,Full Stack
ARM,Arm Holdings plc,UK,Semiconductor IP,Full Stack
SMCI,Super Micro Computer Inc,USA,IT Hardware & Servers,Full Stack
PSTG,Pure Storage Inc,USA,Data Storage,Full Stack
HPE,Hewlett Packard Enterprise,USA,IT Hardware & Servers,Full Stack
2802.T,Ajinomoto Co Inc,Japan,Specialty Chemicals,Chemicals
CC,Chemours Company,USA,Specialty Chemicals,Chemicals
ESI,Element Solutions Inc,USA,Specialty Chemicals,Chemicals
ENTG,Entegris Inc,USA,Semiconductor Materials,Chemicals
4203.T,Sumitomo Bakelite Co Ltd,Japan,Specialty Chemicals,Chemicals
4186.T,Tokyo Ohka Kogyo Co Ltd,Japan,Semiconductor Materials,Chemicals
MKSI,MKS Instruments Inc,USA,Semiconductor Equipment,Chemicals
MRN.PA,Mersen SA,France,Specialty Chemicals,Chemicals
ROG,Rogers Corporation,USA,Advanced Materials,Chemicals
4063.T,Shin-Etsu Chemical Co Ltd,Japan,Semiconductor Materials,Chemicals
CE,Celanese Corporation,USA,Specialty Chemicals,Chemicals
HEN3.DE,Henkel AG & Co KGaA,Germany,Specialty Chemicals,Chemicals
Q,Qorvo Inc,USA,Electronic Components,Chemicals
MRK.DE,Merck KGaA,Germany,Life Science Chemicals,Chemicals
CBT,Cabot Corporation,USA,Specialty Chemicals,Chemicals
AKE.PA,Arkema SA,France,Specialty Chemicals,Chemicals
VCTX.L,Victrex plc,UK,Advanced Material,Chemicals
GLW,Corning Inc,USA,Optical Fiber,Fiber Optics
CIEN,Ciena Corporation,USA,Optical Networking,Fiber Optics
COHR,Coherent Corp,USA,Optical Components,Fiber Optics
FN,Fabrinet,USA,Optical Manufacturing,Fiber Optics
APH,Amphenol Corporation,USA,Connectivity Solutions,Fiber Optics
ALAB,Astera Labs Inc,USA,Optical Networking,Fiber Optics
VRT,Vertiv Holdings Co,USA,Data Center Infrastructure,Fiber Optics
VIAV,Viavi Solutions Inc,USA,Network Test & Measurement,Fiber Optics
PRY.MI,Prysmian SpA,Italy,Optical Fiber Cable,Fiber Optics
AAOI,Applied Optoelectronics Inc,USA,Optical Components,Fiber Optics
VISN,Vision Marine Technologies,Canada,Optical Networking,Fiber Optics
LITE,Lumentum Holdings Inc,USA,Optical Components,Fiber Optics
NVDA,NVIDIA Corporation,USA,Semiconductors,Fiber Optics
